rating,review,split
negative," hours , minutes total time for an extremely simple physical . stay away unless you have hours to waste ! ! ! ",train
negative,a pain to get in and out of . i dread each trip i have to take to this place . ,train
negative,"really great staff friendly and professional . but the facility is beat . rugs stained , wanted to wear flip flops in my room . towels scratchy . they need to raze it and start over . ",train
negative,i ve been mis diagnosed many times by dr . austin . the wait is always an hour or two and you have to keep calling the office to get results . ,train
negative,they just lost my money cause no one would ask if i needed help . waste of my time . ,train
negative,"i have had better and i have had worse . the food is average , but i feel that it is a little on the expensive side for what you get . ",train
negative,"outrageously expensive for average work ! the owners are not particularly friendly , and seemingly uninterested in customer satisfaction . i will not use them again . ",train
negative,"delivery took hr , and i live just few block away from a store . pizza was cold and pretty much waist of money . ",train
negative, reuben sandwich n nugh . . . . . . . it wasn t layered slices of corned beef . none thick slab . . . . . . . n nthe service was stars . neveryone was very very friendly . ,train
negative,decent wait staff and the food is okay . not the best hooters but definitely not the worst . ,train
negative,overpriced and microwaved . eat more than feet away from the game and enjoy a meal . ,train
negative,three weeks later and my machine has tension problems like never before . guess where i won t be going to get it fixed ? ,train
negative,dr . lokey was rude and condescending . she made snide remarks on multiple occasions . our family and our friends have since changed and are much happier . ,train
negative,the service is horrendous . went there numerous times and my orders have been messed up . ,train
negative,the chips and salsa were pretty tastie . the guac was pretty bad though and it almost ruined the chimy . the shredded beef didn t have much flavor to it . cant say i ll be going back any time soon . ,train
negative,"not a lifters gym , more the country club . . i would think they would have clean towels when you pay the extra money every month . . ",train
negative,this place is overpriced for what you get . . . . the food is okay . not very authentic . ,train
negative,"horrible service , whether busy or not . npizza is always limp , soggy or undercooked . nbaked tuna sandwich is bitchin . npizza cookie is ok . ngo to scottsdale or tempe location instead . ",train
negative,"had the bbq burger for lunch . too much lettuce tomato and fixings to steal the taste of the burger away . n nlet the meat be the star of the burgers , not lettuce . ",train
negative,ordered the chicken bowl and the chicken was extremely dry . the rice and sauce was okay . ,train
negative,"how does a fast food joint get four stars ? ? this is when i know not to take yelp seriously . this garbage is the epitome of , well garbage . gross ! ",train
negative,aweful ! waited mins for food and that is with hardly anybody there . ,train
negative,my stuff was stolen from my room . management and staff unhelpful and unapologetic . going to file a police report . ,train
negative,server was very nice however food was horrible . chicken had fat on each piece and bean burrito was tasteless . i am not sure how they can still be in business . ,train
negative,"used to be a decent place to go play pool , watch the big game and enjoy a few beverages . . . has fallen hard recently food is bad , service is worse . no thanks",train
negative,came to have some buffet this afternoon and it s empty with a sign posted that this place is now closed permanently ,train
negative,ehh its ok ! ! the location at bell reems is x better ! ! better service there better drinks . this one is okey . . ,train
negative,love the stars ! but you can get them online cheaper . the other lighting that they carry is way overpriced and quite antiquated . ,train
negative,"bland , boring , uninteresting typical american chinese food . nothing to write home about . ",train
negative,"worst ! service is good , food scraps are too expensive and tasteless . they also use a bait and switch method in their pricing . spend your elsewhere ! ",train
negative,"this place is a joke with some of the worst service in town . . the locals call it a club , its prefect for one drink because the likelihood of getting another before dawn is slim . . ",train
negative,do not waste your time or money here ! i was in a rush to get my,train
negative,not good at all . ,train
negative,they may accept pets but also accept smokers the room smelled like a smoldering pile of feces laced vomit . this place is disgusting no black light needed to illuminate the extent of filth . ,train
negative,this gym has yet to return my call after charging me when i was not even using the gym . they have very poor service . please stop ripping people off . ,train
negative,the burger and fries are nothing special . . . . but not bad . be prepared for patties cooked in old grease . the fries taste like frozen pre packaged from sams club . n nparking is scarce . ,train
negative,this place used to be the go to spot . real solid for the most part . now the food is horribly bland and the egg rolls have some spice in them that is super nasty . n nsad,train
negative,"this is a sub par italian restaurant . the food is just ok . pricing is around a person after tip and no wine . they do try had , but the food is bland and not very exciting . ",train
negative,cultureless chain restaurant with bland food . employees are more interested in flirting with each other at the host stand than to acknowledge you when you walk in or walk out . ,train
negative,very small large sundaes in my opinion . food is very mediocre . ,train
negative,after writing this review and the comment left by joseph i got a call from a collection agence . they are claiming that they provided services that they did not . stay away from this guy . ,train
negative,"tastes like microwave mexican food , not so good . sucks i had to pay to find that out . hopefully next time i visit the food will taste alot fresher than what they claim to sell",train
negative,do no stay here if you plan to sleep before am . they could not care less that there is a very loud bar directly across the street . if loudness doesn t bother you than this place is fine . ,train
negative,went here for year anniversary . over priced food where and year old townies and professors eat . n nyou ve been warned . ,train
negative,been calling for the last minutes to find a family member that is residing there with no answer . not what i expect and highly disappointed . ,train
negative, minutes for two veggie rolls . . . . ridiculous . little explanation or apology and no discount . . . . unacceptable . . . . . . very disappointed . ,train
negative,this station is ridiculous and infuriating,train
negative,"don t waste your time or money , this place sucks big time . tasteless food , shotty service . i would never go back ! ",train
negative,people in the hood need to learn how to follow directions . i made an online order and the driver read me what i ordered and looked at what i didn t order . ,train
negative,it s an airport . . . . . . n nthe taxi guys were nice though . ,train
negative,slow and rude service at a dirty restaurant . ,train
negative,had the gnocchi delivered . absolutely terrible . gnocci s had to have been years old . delivery guy was shady too . ,train
negative,"chompie s , based on my three visits , is very unfriendly to children , and i m speaking of well behaved year olds , not crying babies . ",train
negative,"this place is chaotic , confusing , and the people who work here are just plain mean . hands down , it is the worst airport i have ever been to . ",train
negative,"call me old fashioned , but when a room costs over , the room should have an ice bucket and the kleenex box should have more than five kleenexes in it . ",train
negative,this place is okay just a hole in the wall to me that uses a microwave to reheat about everything . there horchata is good but everything else is cold . . . ,train
negative,i would have ordered from this place again if the driver hadn t of scammed me for an extra dollar . look at your receipt ! ,train
negative,horrible job on my nails ! ! never go there ! i had a smudge and the fixed it by putting three extra coats on and then the polish still smudged ! ,train
negative,"the only thing good about this place is tuesday and thursday is half price margaritas . . . that and they have a chip , salsa , cheese and bean buffet with that . ",train
negative,don t wash your car here . car looked almost as dirty afterwards . old and run down as well . i am bummed . ,train
negative,nine am on a thursday morning and not one piece of toilet paper in the restroom . really ? ? ? um yeah i just drank coffee . ,train
negative,"decent for the money , but not spectacular . wings were overcooked and dry . n nthe western bacon burger was decent . bread was good . ",train
negative,"horrible service and bland , tasteless food ! ",train
negative,"wondered into this place looking for some mixed drinks . the bartender told us they were known for they fruity drinks , but not margaritas . he could mix any juice with vodka . we left . ",train
negative,this location has closed . ,train
negative,im a carolina bbq fan . and sorry . . but this bbq is just no that good . its fast food bbq . why not do real bbq sonny ? i dont want mcribs from a carolina bbq place,train
negative,nothing stands out at this pub eatery . i went there for a chamber lunch twice and both times the meals was subpar and very small portions . ,train
negative,excellent and fast service during lunch hours . over priced mediocre food . ,train
negative,this business is closed . ,train
negative,"generic chain food , most of which is made from frozen out of a bag ingredients . don t waste your money or time . tgi friday s or applebee s with a caribbean theme . ",train
negative,used to love coming here for breakfast when it was a diner with real diner food . they have changed it over to a coffee and snack takeout . i don t bother coming here anymore . what a loss . ,train
negative,mall is ok . . just somewhere to go when its snowing and cold outside but want to get out the house . . and my cousins like the carousel . ,train
negative,i hate this place,train
negative,"have purchased trees here , tagged them , only to have them sold out from under me later . won t go there again , no matter how good the staff is . miss the old owners . kids don t count . ",train
negative,will buy a grill and some meat and try my own hand before i go back . ,train
negative," . for a tosted mac cheese no meat . . . . but they charge like if it had shrimp ! i won t order this again . . . over priced , small portion , and it s not even the best i ever had . ",train
negative,not impressed at all,train
negative, very dirty dinning area ! ! n employees obviously do not care about customer service n mcdonalds should pull their affiliation very bad representation of the brand,train
negative,"chips are very good fresh and crispy . salsa is ok , just not as good as most restaurants . everything else i tried was sort of gross",train
negative,"it s ok . not a lot to say about it . average food , average prices . ",train
negative,"the problem is that the atmosphere is subpar , and the drinks are literally half full . don t believe me order a vesper , it s full . i will not return . ",train
negative," hour wait . my referring doctor sent me to the wrong office , so that s on him . making a patient wait for hours while staff watches ellen is never acceptable . ",train
negative,"left them a message to make an appointment no return call . went to the tempe office instead , which was awesome ! ",train
negative,the staff argues with the customer about bad tasting ice cream . when i asked for a replacement it was an argument an all i wanted was it switched out . i wasn t trying to get anything free . ,train
negative,closed . ,train
negative,service was terrible and staff was very unfriendly ! ,train
negative,been to other locations and had wonderful experience there . so i figured i would go here but it was a bad experience way to demanding for me to order as soon as we sat down so we got up and left . ,train
negative,lets just say that they are the reason i don t eat chinese food anymore . there was a hair in my cum like sauce . barf . . . i can t do it anymore . ,train
negative,garden ridge has just turned into a junky flea market . gag ! ! ! ,train
negative,i wish i could give them no stars ! service sucks enough said . if it starts out bad it will stay bad . stay away don t let them ruin your big day ! ,train
negative,i feef that the waitress was not trained correctly and she should never have been fired,train
negative,price is good but never have eaten at a sushi place with all you can eat that doesn t allow all specialty rolls to be offered,train
negative,long wait to check in . creepy ish location . ,train
negative,"absolute worst wings i ve ever had , i m , may be the first time i ve ever asked for my money back . soggy , and no sauce . ",train
negative,"my husband and i both ordered pasta , and we both ended up with food poisoning , the sauce was super salty and , something was cross contaminated or under cooked for as sick as we both ended up . ",train
negative,nope ! ,train
negative,nothing special about this place . great location but the facilities are a little tired . ,train
negative,been in three airports on our trip to north carolina . i know it s summer . what happen to the air conditioning . they ve lied if its about being green . it s about the other green ! ! ! ,train
negative,lousy ! you re a file number . ,train
negative,oops . wrong location . ,train
negative,consumer alert . . . rats ! ,train
negative,worst wait staff and management i have ever experienced in my life ! ! ! kinda feels like a retirement home . ,train
negative,"the food was just ok . soggy french fries on a greasy cheese steak pattie . the service was awful , noise , and not helpful for a newcomer to primantis and pittsburgh . ",train
negative,makeup staff is rude . ,train
negative,not worth paying for . make your own salad better and for less ! it was clean that s about all i can say for it . . . ,train
negative,"update from last review . just found out today after having my car checked out at the dealer that fletchers installed my head gasket incorrectly , it is leaking oil from the engine seam . ",train
negative,never will go again . . food was so nasty . . didn t even put the flag up . . . ,train
negative,went there tonight . n nworst sushi i have ever had . ,train
negative,"non attentive staff , very rude bartender . left before getting waited on ! ",train
negative,the food is average and the service is terrible ! the manager does nothing to rectify the situation . ,train
negative,i really need a new wal mart . i ve been standing in the customer service line for minutes behind the same people just to exchange cans of soup . ,train
negative,how many times do i have to get crappy blueberries from sprouts before i learn my lesson ? ,train
negative,the worst excuse for chinese food ! the only tying i ate were the fortune cookies . ,train
negative,over priced yuppie garbage . npoor unknowledgable servants . ngo to the farmers market ! ,train
negative,"gross , plain and simple ! i ll crave some quick chinese food and then i m always upset . what a waste of money ! ",train
negative,"next time i get the once in a blue moon urge to visit a casino , i m just going to take out of my wallet and rip it in half . ",train
negative,did not like it . luke warm food that was not appetizing or tasteful . not the cleanest establishment . ,train
negative,"such a shame . terrific location , supported by the community and just awful . filthy , bad seats , more expensive than others . choose to go elsewhere . ",train
negative,worst airport in the area . never come to clt on monday morning . the valet parking was full by am . security lines are ridiculous . i drove up from columbia sc for the last time . ,train
negative,please clean your floor properly . it feels like crisco under your feet . very dangerous . ,train
negative,"it was awful . not even sure that it was beef . really , really bad",train
negative,flat pepsi . cold food . they mic it so now my tongue is burned . i like fresh food when i eat out . sure its good but why not just have a microwave diner . its cheaper,train
negative,food was way overpriced for the taste . beans overcooked . tortillas seemed stale . server was horrible . avoid this place . dont waste ur . sorry bout iiiiit . ,train
negative,worst sandwich i have ever had . got the roast beef sub . so dry like eating cardboard . took bites and threw the rest away . never again ! ! ! ,train
negative,can t follow instructions . no cheese means just that ! ! ! it doesn t mean ignore me and fix it the way you want . this place is clearly not interested in any further business from me . ,train
negative,"too many restaurant gaffes in one night . forgotten drinks , dry fish , cold tacos that needed to be reheated , lemons instead of limes , that sort of thing . meh . ",train
negative,yucky yucky yuck pizza undercooked and bbq chkn looking like charcoal at least we got refunded right away big mess of food . yikes defy will not order again . ,train
negative,we were regulars . then . . . new owners take over and slowly started changing recipes and using sub par ingredients . there is so much competition in the area . won t go back ever again . ,train
negative,they don t honor coupons from coupon clipper app . they require the coupon to be printed . not cool . i won t be back . ,train
negative,good for a fast lunch . had the gyro and added feta . gyro was fine . bottle of coke had icy slush in it . ,train
negative,"closed , now called the timbers . ",train
negative,"the restaurant was clean and the people working were friendly . but , the food was just okay the corn beef was sliced too thick and it was tough . ",train
negative,place isn t and won t ever have the same taste since they switched owners . ,train
negative,i called to get an idea on fixing a plumbing issue . the person on the phone was very rude and short . needless to say i ll take my business elsewhere . ,train
negative,"this place was so cute and i was really excited to try it . . . the old fashioned sodas were great . . . the food was good , too . . . but the service was horrible . . . big fat bummer",train
negative,"i guess if you fly usairways , maybe this airport is good . maybe it should be named usairways charlotte international . if you fly out of concourse a , good luck . ",train
negative,"i love buffalo wild wings , but the customer service on this location sucks ! ! ",train
negative," stars for the drive through . everything else about this starbucks leaves you wondering , why don t you just get back in your car and drive down to the other starbucks on daisy miuntain . . . ",train
negative,"added a tip to my . credit card that i didn t put on , shorted me one from a half dozen . bagels are tasty but i won t be back . ",train
negative,poor service and the food was overpriced for the quality . nothing tasted bad but it was way too expensive . i would recommend capital grille over morton s . ,train
negative,as far as pizza goes . . . um no thanks . ,train
negative,great breakfast and lunch . . . . . horrible ancient slow slow slow slow slow internet . . . . at a night ! ,train
negative,wtf is a reservation for or calling ahead to hold seating if you have to wait min . ? just simply state we dont take reservations . don t set false expectation . horrible customer service ! ! ! ! ! ,train
negative,we had a groupon and decided to try it out . it wasn t happy hour and my draft bud light was . the appetizers were so so . it s a great atmosphere and would be fun after a game . ,train
negative,the bartender was a bitch . she was young and inattentive and spent the whole time chatting with her boyfriend at the end of the bar . he is also a jerk . my whole group left after round . ,train
negative,"cool hangout spot . cool ambience . i enjoyed the musicians . but the food is way overpriced . the food is average , i ve had better . service was bad . ",train
