rating,review,split
negative," hours , minutes total time for an extremely simple physical . stay away unless you have hours to waste ! ! ! ",train
negative,thought i would give them a nd chance . . . bad idea ! employees make you feel like your putting them out for ordering overpriced pizza . this place will be out of business if the owners don t make a change quickly . ,train
negative,a pain to get in and out of . i dread each trip i have to take to this place . ,train
negative,"really great staff friendly and professional . but the facility is beat . rugs stained , wanted to wear flip flops in my room . towels scratchy . they need to raze it and start over . ",train
negative,i ve been mis diagnosed many times by dr . austin . the wait is always an hour or two and you have to keep calling the office to get results . ,train
negative,"gas prices are inordinately high here , either due to lake proximity or being the last station on the way out of town . this area is in desperate need of more options . if you re a gas station tycoon i suggest building across the street ! ",train
negative,i feel like i m in the ghetto when i come here . it seems almost as bad as the walmart that s right off base . there s always a long line and not enough cashiers . its not that organized and i m constantly wandering trying to find what i want . i d rather go to target . ,train
negative,they just lost my money cause no one would ask if i needed help . waste of my time . ,train
negative,"oy . why do i do this to myself . n nthe service was fine , but nothing about the food was edible . first of all , five dollars for stale tortilla chips and homemade salsa clearly from a can . n nthe chicken wings tasted like fake butter and rubber . n nit s my fault , i guess . ",train
negative,"i have had better and i have had worse . the food is average , but i feel that it is a little on the expensive side for what you get . ",train
negative,i went there yesterday with my wife and mom . not bad but not really authentic . very tex mex i guess . my wife had the chile rellenos which she said were not good . i had the mexican pizza which was very large and ok . great salsa . expensive also . . the salsa and chips are very good though . ,train
negative,"outrageously expensive for average work ! the owners are not particularly friendly , and seemingly uninterested in customer satisfaction . i will not use them again . ",train
negative,"decent pizza and wings , not enough though to go back for a second time and deal with their award winning customer service . they nickel and dime you for any little request , i m surprised he doesn t charge for the use of napkins . . . . maybe that s next . ",train
negative,"delivery took hr , and i live just few block away from a store . pizza was cold and pretty much waist of money . ",train
negative,"eh , alfredo is better at olive garden and spaghetti was bland but calamari and stuffed mushrooms are amazing ! love they take you to your seat through the kitchen . i d recommend appetizers and italian soda servers are great , friendly atmosphere",train
negative,i looked at the reviews and thought this would be a great place for bunch . wrong ! i don t know how their regular menu food is but their brunch was horrible with a capital h . a person was way too much for disgusting food . ,train
negative, reuben sandwich n nugh . . . . . . . it wasn t layered slices of corned beef . none thick slab . . . . . . . n nthe service was stars . neveryone was very very friendly . ,train
negative,i went in here for the first time in around years . it was ugly and cluttered and not well lit . i am also thoroughly disappointed that they do not do any discounts or donations for nonprofit organizations that are centered around kids . ,train
negative,rude receptionist . . does not know about co pay . . spent mins double checking with blue cross . . as many others . . could not help me . . wasted bucks . . . and whats up with the doctors dog in the lobby . . could not hear doc explaining results with dog barking ! ! ! ,train
negative,decent wait staff and the food is okay . not the best hooters but definitely not the worst . ,train
negative,overpriced and microwaved . eat more than feet away from the game and enjoy a meal . ,train
negative,three weeks later and my machine has tension problems like never before . guess where i won t be going to get it fixed ? ,train
negative,dr . lokey was rude and condescending . she made snide remarks on multiple occasions . our family and our friends have since changed and are much happier . ,train
negative,we got take out like we normally do and the manager rudely said everything was in the bag . come to find out when we got home it wasn t . when we called he was even more rude and said he was still right . well you weren t . ,train
negative,the service is horrendous . went there numerous times and my orders have been messed up . ,train
negative,"i recommend to never come to this discount tire i bring in my bmw to get a new tire and i went home and found out they bent my rim on my bmw , i went back in and the guy tells me it was bent when i bring it in . but he never told me anything when i left . do not come here bad service and liars ! ",train
negative,the chips and salsa were pretty tastie . the guac was pretty bad though and it almost ruined the chimy . the shredded beef didn t have much flavor to it . cant say i ll be going back any time soon . ,train
negative,"not a lifters gym , more the country club . . i would think they would have clean towels when you pay the extra money every month . . ",train
negative,"i d rather eat from the lobster tank because that was the cleanest place in the joint . for the price of these seafood dishes , one could be eating cuisine from a real chef at vogue instead of the microwave meisters , julio and juan . ",train
negative,this place is overpriced for what you get . . . . the food is okay . not very authentic . ,train
negative,"horrible service , whether busy or not . npizza is always limp , soggy or undercooked . nbaked tuna sandwich is bitchin . npizza cookie is ok . ngo to scottsdale or tempe location instead . ",train
negative,unimpressed with the lack of attention and follow through of the employee in the guitar accessory area . wasted over an hour of my time only to find out they didn t have the part in stock . i suggest you try milano s music in downtown mesa instead better selection and much better service . ,train
negative,"i seriously don t know why people love this place so much , the food here is horrible . the rice is never cooked properly . . and it s not even asian food . it s fake asian food . i never come here anymore . ",train
negative,"had the bbq burger for lunch . too much lettuce tomato and fixings to steal the taste of the burger away . n nlet the meat be the star of the burgers , not lettuce . ",train
negative,ordered the chicken bowl and the chicken was extremely dry . the rice and sauce was okay . ,train
negative,"how does a fast food joint get four stars ? ? this is when i know not to take yelp seriously . this garbage is the epitome of , well garbage . gross ! ",train
negative,i just ordered malai kofta a vegetarian dish . the quantity was so little for the price and it was really salty . but the chicken biryani i ordered along with it was not bad . i still would not be ordering from this place again . ,train
negative,aweful ! waited mins for food and that is with hardly anybody there . ,train
negative,my stuff was stolen from my room . management and staff unhelpful and unapologetic . going to file a police report . ,train
negative,server was very nice however food was horrible . chicken had fat on each piece and bean burrito was tasteless . i am not sure how they can still be in business . ,train
negative,"an abomination . . . . the billing department is run by a level of incompetence of which the likes have never been seen . ever get a bill yrs late , then pay over the phone with a credit card , only to have the payment never recorded and then receive harassing phone calls ? well i just did . . . . ",train
negative,"used to be a decent place to go play pool , watch the big game and enjoy a few beverages . . . has fallen hard recently food is bad , service is worse . no thanks",train
negative,came to have some buffet this afternoon and it s empty with a sign posted that this place is now closed permanently ,train
negative,pretty busy at around am on a friday . . . i waited minutes for my drink and they forgot my peppermint ! not the best starbucks experience i ve had . but they do have a drive thru . wonder if that line would have moved faster . . . ,train
negative,ehh its ok ! ! the location at bell reems is x better ! ! better service there better drinks . this one is okey . . ,train
negative,"i am not pleased with the staff or the venue . the manager is less than professional , the venue is overpriced , and there is a severe lack of customer service with this . while i do appreciate the beauty of the building , and the owners are so nice , i would say , take your money elsewhere . ",train
negative,love the stars ! but you can get them online cheaper . the other lighting that they carry is way overpriced and quite antiquated . ,train
negative,"bland , boring , uninteresting typical american chinese food . nothing to write home about . ",train
negative," pm on a thursday , no customers other than myself , and employees standing at the cash register . no hello , no offer to help , just lots of personal socializing and all looked me up and down while mumbling to themselves . wow really . . hi haters ! i ll never be back to this store again . ",train
negative,"worst ! service is good , food scraps are too expensive and tasteless . they also use a bait and switch method in their pricing . spend your elsewhere ! ",train
negative,"this place is a joke with some of the worst service in town . . the locals call it a club , its prefect for one drink because the likelihood of getting another before dawn is slim . . ",train
negative,do not waste your time or money here ! i was in a rush to get my,train
negative,not good at all . ,train
negative,they may accept pets but also accept smokers the room smelled like a smoldering pile of feces laced vomit . this place is disgusting no black light needed to illuminate the extent of filth . ,train
negative,this gym has yet to return my call after charging me when i was not even using the gym . they have very poor service . please stop ripping people off . ,train
negative,the burger and fries are nothing special . . . . but not bad . be prepared for patties cooked in old grease . the fries taste like frozen pre packaged from sams club . n nparking is scarce . ,train
negative,"i dont know how this place stayed open . the last thing i ordered was horrible it was something simple that i figured couldn t be messed up chicken fried rice . . . the chicken was dark and hard , the taste was horrible . i tried the place again hoping for a better visit . . . not impressed . ",train
negative,this place used to be the go to spot . real solid for the most part . now the food is horribly bland and the egg rolls have some spice in them that is super nasty . n nsad,train
negative,yes they do have free wifi . n nthey also have wierd booze laws that require everyone to be carded but don t require booze prices on the menu . it s quite a shock when a bud costs . . wtf ? ? ? n nthe food is pretty bad and is all shut down by pm . goodnight sleepy phx ! ,train
negative,"this is a sub par italian restaurant . the food is just ok . pricing is around a person after tip and no wine . they do try had , but the food is bland and not very exciting . ",train
negative,cultureless chain restaurant with bland food . employees are more interested in flirting with each other at the host stand than to acknowledge you when you walk in or walk out . ,train
negative,having a tough time this morning dunkin ? n ni ordered a large mocha and an glazed donut . n ni received a medium coffee with cream and sugar . n nit was at pm and i was the only car in the line . n ni don t feel the need to say anything else . . . n n ,train
negative,very small large sundaes in my opinion . food is very mediocre . ,train
negative,blech . we ate here over a year ago when we first moved here . . . never to return . it tasted like mexican food you get in kansas . low quality and not very authentic . sorry . . . didn t care for it at all . ,train
negative,after writing this review and the comment left by joseph i got a call from a collection agence . they are claiming that they provided services that they did not . stay away from this guy . ,train
negative,"tastes like microwave mexican food , not so good . sucks i had to pay to find that out . hopefully next time i visit the food will taste alot fresher than what they claim to sell",train
negative,do no stay here if you plan to sleep before am . they could not care less that there is a very loud bar directly across the street . if loudness doesn t bother you than this place is fine . ,train
negative,would five stars if i could . they never delievered my flowers and never even called me to inform me of what happened . they were just going to keep my money . will never use them again ! though i did get a full refund from them after i called days later to see what the hell happened . ,train
negative,expensive . the deli needs a lot of work . their pastas and deserts are way too overpriced for the quality . chocolate mousse tasted like whipped cream with hershey s syrup blended in . overcooked cold large prawns were so bad i had to return the item . ,train
negative,went here for year anniversary . over priced food where and year old townies and professors eat . n nyou ve been warned . ,train
negative,"not our place . we have gone there times now . pulled pork was always cold , and dry . and it just never made us leave smiling or full . give it a try if you will . their fries are amazing i believe they are frozen then fried . but ya",train
negative,"i was really disappointed in this place . i had heard it was good , but the food was terrible . i got crispy spring rolls , which were flavorless i ordered the pad thai w chicken . it didn t even taste like pad thai . no flavor . i will not be coming back here . ",train
negative,this place is so fake it s sickening the server cindy is phony . jose is a dick and the owner couldn t make the time to take my credit card . the salad dressing was tasteless and the osso bucco was just okay . ,train
negative,been calling for the last minutes to find a family member that is residing there with no answer . not what i expect and highly disappointed . ,train
negative,"got here at p , ordered at pm , still waiting for my food . n nstaff is messing around , watching tv , chatting with friends , etc . n nstay clear of this place . i have never seen a tgi friday s run so horribly ! ! ! ",train
negative, minutes for two veggie rolls . . . . ridiculous . little explanation or apology and no discount . . . . unacceptable . . . . . . very disappointed . ,train
negative,this station is ridiculous and infuriating,train
negative,makeup artist was incredibly rude and unprofessional . she gave me the wrong make up color and i didn t realize until i got home . n nthe check out desk was also unprofessional . manager was yelling at an employee in front of the customers . i will not be back to this location . ,train
negative,"don t waste your time or money , this place sucks big time . tasteless food , shotty service . i would never go back ! ",train
negative,people in the hood need to learn how to follow directions . i made an online order and the driver read me what i ordered and looked at what i didn t order . ,train
negative,"being new to arizona and unfamiliar with mimi s i decided to stop in with my family for some mediocre food and rude , slow and overall lousy service . the ambiance is a throwback from some era when it may have been stylish but today appears old and tired . we will never darken their doors again . ",train
negative,"quick but bad service . my nuggets were cold and they would only give me bbq sauce for a piece . when i asked for more sauces the said . cents each . i asked how much ketchup was joking the chick said idk let me ask , and actually asked the manager . i was making a scarcastic joke remark . ",train
negative,it s an airport . . . . . . n nthe taxi guys were nice though . ,train
negative,"pizza was ok . . i ordered vinnies , which is your choice of toppings . italian sausage , black olives , onions , garlic and basil . it wasn t bad but it wasn t great either . n nthe server was exceptionally friendly and helpful but the service was the high point of the experience . ",train
negative,slow and rude service at a dirty restaurant . ,train
negative,"i have had good food at roy s before , but the quality reminded me a bit of a snooty applebee s this time . the pot stickers had been under the heat lamp way to long . the ono was promised at medium and served at well . service was ok . jw marriott deserves a better on property kitchen ! ",train
negative,precooked noodles in ragu like sauce . i got the thai food phod thai . don t do it ! there was a sprinkling of vegetables and not much else . i asked for extra lime and onion and they gave me a tiny end of a lemon not a lime and no extra onions . ,train
negative,had the gnocchi delivered . absolutely terrible . gnocci s had to have been years old . delivery guy was shady too . ,train
negative,"dopes ! i have been there a dozen times with my x and yesterday , after waiting minutes , they say your tires are too wide so i m like you just did the car two weeks ago . . . no response just looked at me like a deer in headlights . stupid is as stupid does i guess . ",train
negative,"chompie s , based on my three visits , is very unfriendly to children , and i m speaking of well behaved year olds , not crying babies . ",train
negative,"this place is chaotic , confusing , and the people who work here are just plain mean . hands down , it is the worst airport i have ever been to . ",train
negative,"call me old fashioned , but when a room costs over , the room should have an ice bucket and the kleenex box should have more than five kleenexes in it . ",train
negative,this place is okay just a hole in the wall to me that uses a microwave to reheat about everything . there horchata is good but everything else is cold . . . ,train
negative,i would have ordered from this place again if the driver hadn t of scammed me for an extra dollar . look at your receipt ! ,train
negative,this place is run down and seen better days . it almost impossible to find someone on the floor to help you . there wedding section is virtually non existing and disappointing . i really wish hobby lobby would open on this side of town,train
negative,horrible job on my nails ! ! never go there ! i had a smudge and the fixed it by putting three extra coats on and then the polish still smudged ! ,train
negative,"the only thing good about this place is tuesday and thursday is half price margaritas . . . that and they have a chip , salsa , cheese and bean buffet with that . ",train
negative,don t wash your car here . car looked almost as dirty afterwards . old and run down as well . i am bummed . ,train
negative,"i think this pie is awful . i have had it twice and all i got was a grease pie cut into annoying little squares . when i requested the pie to be cut into a traditional round style , my request was met with a huff and a puff . it s quite pricy too . ",train
negative,nine am on a thursday morning and not one piece of toilet paper in the restroom . really ? ? ? um yeah i just drank coffee . ,train
negative,"decent for the money , but not spectacular . wings were overcooked and dry . n nthe western bacon burger was decent . bread was good . ",train
negative,"horrible service and bland , tasteless food ! ",train
negative,"the food was just okay to me . wish they put more vegetables . the meat wasn t very well marinated . n nthe boss lady was not very nice . we order carry out food , but then decide to sit down and eat . she then walk to us and told us we re not allow to do that . ",train
negative,"our pizza was good with premium toppings , and i loved the bar glassware and tap choices , but holy cow they shaft you with high prices . i know it s supposed to be gourmet and everything but come on , come on , it is only pizza . ",train
negative,"wondered into this place looking for some mixed drinks . the bartender told us they were known for they fruity drinks , but not margaritas . he could mix any juice with vodka . we left . ",train
negative,panera bread has to be the most inconsistent restaurant i have ever been to . i have posted two pictures of the strawberry poppyseed chicken salad . the first one looks delicious the second one looks like they could ve used a smaller bowl . it did not even look appetizing . ,train
negative,my husband took me to dinner here once . for such a big venue it was extremely empty . nonce the food arrived i knew why . the food was so bland . i could have made dinner that night for way cheaper . ,train
negative,everytime i go into this sally s i feel discriminated against . i just went in there and a girl was staring right next me and didn t offer assistance . and it didn t help that she was so nice to other customers in front of me . i was very disappointment today . ,train
negative,this location has closed . ,train
negative,im a carolina bbq fan . and sorry . . but this bbq is just no that good . its fast food bbq . why not do real bbq sonny ? i dont want mcribs from a carolina bbq place,train
negative,food is good but the portions are small . prices are on the expensive side considering how little you get . i m not saying that i would never go back . . . but mimis won t be on my list to visit again anytime soon . ,train
negative,nothing stands out at this pub eatery . i went there for a chamber lunch twice and both times the meals was subpar and very small portions . ,train
negative,"not good ! really , not good . i had lunch here . i was so disappointed . the crab rangoon , had no crab , just a scant amount of filling . my lunch consisteted of a neon orange rice . strange looking , and bad tasting . the food was so bad , i thought we were being pranked . ",train
negative,"i was here randomly with my step uncle one day . it s a low key place with some interesting folks . mostly of the age group . drinks are cheap . as far as i know , most people come here for the off track betting . although , i also heard the pizza is good . ",train
negative,ordered different dishes and got the same exact thing . couldn t tell which of the considering it was comparable to a sweet and sour sauce neither of which i ordered . fried rice ? nope . panda express is better and that is saying a lot . ,train
negative,talked to someone to day kmart e baseline got a camera for my daughter for a gift person i talked to was rude as hell then some one else talked to me they were more rude then the first person said i can t return it because i don t have my receipt there s nothing they can do sorry and hung up on me,train
negative,excellent and fast service during lunch hours . over priced mediocre food . ,train
negative,"i learned that you never want to order steak at mimi s ! the worst top sirloin i have ever had , and the waiter did no care ! ? i ordered it medium rare , and it came well done , and the thinnest top sirloin i have ever seen . i am not looking forward to going back there . ",train
negative,this business is closed . ,train
negative,"i have been here numerous times . every time john is there he finds a way to insult either myself or my wife . dont get me wrong , i love their selection of books and other wares , its just john that turns me off of the place . ",train
negative,"generic chain food , most of which is made from frozen out of a bag ingredients . don t waste your money or time . tgi friday s or applebee s with a caribbean theme . ",train
negative,"while i do love bahama bucks , i don t like this location ! the hours they say that they will be open , seems if they actually are open . which seems to be a common problem from other yelpers i see . well it s still a problem as of today ! ",train
negative,used to love coming here for breakfast when it was a diner with real diner food . they have changed it over to a coffee and snack takeout . i don t bother coming here anymore . what a loss . ,train
negative,what a crap experience ! get someone who listens and speaks clearly to work the drive through ! hope that idiot working there tonight enjoys that job because jack in the box is about as good as he will get ! ,train
negative,mall is ok . . just somewhere to go when its snowing and cold outside but want to get out the house . . and my cousins like the carousel . ,train
negative,i hate this place,train
negative,they lost my appointment and left me waiting for a half an hour only to get my massage cut by minutes . they have too much business and i mean nothing to them . squeeze another cow into the trailer and make that profit . ,train
negative,it does not surprise me that there are so many negative reviews for this safeway . this is the worst staffed safeway in the valley . i stop here often and it is always the same . expect extended waits because there are never enough lines open . ,train
negative,i like denny s but this place is low quality for its high traffic the food is not all that good i have seen a few people who are not satisfied with this service this will be one dennie s i won t come back to,train
negative,"have purchased trees here , tagged them , only to have them sold out from under me later . won t go there again , no matter how good the staff is . miss the old owners . kids don t count . ",train
negative, mins deep tissue massage costs dollars plus tip . however the massage therapist did not perform a deep tissue massage at all . i am always bad at face to face confrontation so i was not able to tell them this was probably one of the worst deep tissue massages i ever received . ,train
negative,will buy a grill and some meat and try my own hand before i go back . ,train
negative," . for a tosted mac cheese no meat . . . . but they charge like if it had shrimp ! i won t order this again . . . over priced , small portion , and it s not even the best i ever had . ",train
negative,not impressed at all,train
negative, very dirty dinning area ! ! n employees obviously do not care about customer service n mcdonalds should pull their affiliation very bad representation of the brand,train
negative,"chips are very good fresh and crispy . salsa is ok , just not as good as most restaurants . everything else i tried was sort of gross",train
negative,"watched a bartender serve a guy a beer when he was visibly intoxicated . he was swaying in circles on the chair next to me . i told the manager about it and he told me that guy is just crazy , i ve seen him much worse so i guess that makes it ok . made this paying customer leave after one beer . ",train
negative,"it s ok . not a lot to say about it . average food , average prices . ",train
negative,"please take time to compare his prices for exam and prescription eye glasses with costo . compared to , and compared to . i did not use medical insurance at costco . found it very upsetting when i went to each place and then compared the charges . would not recommend doctor my eyes . ",train
negative,"the problem is that the atmosphere is subpar , and the drinks are literally half full . don t believe me order a vesper , it s full . i will not return . ",train
negative," hour wait . my referring doctor sent me to the wrong office , so that s on him . making a patient wait for hours while staff watches ellen is never acceptable . ",train
negative,i am also not a fan of this starbucks and i also will travel further to the other starbucks on shea . seems like everytime i would a latte it s really light and half the cup is filled with froth . feels cheated . nshea location is much better . ,train
negative,"left them a message to make an appointment no return call . went to the tempe office instead , which was awesome ! ",train
negative,the staff argues with the customer about bad tasting ice cream . when i asked for a replacement it was an argument an all i wanted was it switched out . i wasn t trying to get anything free . ,train
negative,closed . ,train
negative,i was just taking class there for fun but the instructor is not good . n nshe rarely replies students email when have question and i know that i am not the only one who has problem with that . n nsigh,train
negative,terrible service ! i sat for minutes watching people with appointments get served . no problem with them honoring appointments . big problem with not communicating that they are booked and the wait time would be hour ! ,train
negative,service was terrible and staff was very unfriendly ! ,train
negative,wait mins for an elliptical . the weights are limited and they don t have a lot of machines . oversold memberships . i just closed my over priced membership and joined fitness connection where everything is new and only bucks a month . the y is overrated . ,train
negative,"i shop here because , it is the only place to get what i need in biking distance . out of times , i am overcharged . on my last visits it was for over . i make it a habit to go over my receipt , near customer service to collect my inevitable refund . ",train
negative,"gotta say that this place failed on the majority . service was slow and rude . the hummus was almost all tahini , no lemon juice , and no seasoning . lentil soup was like chef boyardie chili gone bad . n ni dont recommend this place at all . lots of choices in the area . ",train
negative,"car is ok . what you expect for used . salesman are good , no pressure . business office and general manager darren , horrible ! ndon t believe anything that is said during negotiations . make sure you take the time to read all paperwork before signing . ",train
negative,"so , i ve enjoyed mi cocina before . . . . but i think my tastes have matured . the salsa was good , but the sauce inside of my taco and chimichanga was a strange ketchup bbq tasting mixture . beans were ok , rice , not so much . i probably won t be back . sorry mi cocina . ",train
negative,"leave another days for your trip , because they really are that slow ! ! they really need to change their system here . really , i might have been faster ordering the parts for a car , and building it myself ! ",train
negative,been to other locations and had wonderful experience there . so i figured i would go here but it was a bad experience way to demanding for me to order as soon as we sat down so we got up and left . ,train
negative,"negative , droning on and on about negative things . . . . yes , arizona is full of negative news but it serves no purpose to report it . i have never heard such negative news reporting in my life . yuck . ",train
negative,"i had heard a lot about this place , so was excited when i finally got to eat here . sadly , i was not impressed . the salsa was mediocre , and my chimi was soggy and tasteless . the beans were tasteless as well . will not be going back . ",train
negative,"first time going had a horrible wait time during lunch . . . the manager comped my food , but for a quesadilla a minute wait is crazy since it s an appetizer . i will not be going back any time soon . ",train
negative,lets just say that they are the reason i don t eat chinese food anymore . there was a hair in my cum like sauce . barf . . . i can t do it anymore . ,train
negative,"if i can give stars i would . this place has no organization . the wait time is always if not longer hours dr . flanagan is really nice but the hens that work there either need to work or lay that egg cause the wait is very , very bad . will be definitely changing centers asap",train
negative,garden ridge has just turned into a junky flea market . gag ! ! ! ,train
negative,dont know why i came back to this location a second time ! this place suckkss lack major customer service . an hour a half still waiting . . . for an oil change i even scheduled the appt online ! ! ! ,train
negative,i wish i could give them no stars ! service sucks enough said . if it starts out bad it will stay bad . stay away don t let them ruin your big day ! ,train
negative,i feef that the waitress was not trained correctly and she should never have been fired,train
negative,"i ate here because reviews were pretty good and i love chinese food . this place is awful . i noticed the waterchest nuts had mold , after eating half the plate . then got food poisoning . hooray ! will never eat here again . gross ! ! worst place i have ever eaten and that says a lot . ",train
negative,salon is hit or miss depending on who does your nails . last time that i went one nail wasn t even completely polished and the ends had not been filed smooth . they are cheap but you get what you pay for . ,train
negative,"this place is dirty . the plate my food was served on was dirty , our waitress s apron was dirty , and the booth we sat in was dirty it left a huge grease stain on my daughter s pants . this place is disgusting . ",train
negative,"i can t tell you how the food was because after waiting minutes with no line to get a table , placing our order , and minutes later with no chips and salsa , we left . i should ve known to leave when the person sitting beside of us complained that his food had taken so long . terrible ! ! ! ",train
negative,"this location is crowded , seats are too close together , and desk staff are not paricularly helpful or friendly . the phlebotomists are nice , though . go across the street to southwest medical if you have a problem with waiting an hour or more and don t like sitting on a strangers lap . ",train
negative,the quality of the sashimi has been very poor the last few times we visited shogun . we used to go once a week but it is doubtful if we will return anytime soon after three or four disappointing meals . ,train
negative,"i probably would have given moonstruck threeish stars when it was open , but i can t give it any stars any more because it s closed ! that seemed kind of sudden ! i wonder what happened what is going to go in there instead . panera pleeeaaasssseeeee . ",train
negative,price is good but never have eaten at a sushi place with all you can eat that doesn t allow all specialty rolls to be offered,train
negative,long wait to check in . creepy ish location . ,train
negative,"absolute worst wings i ve ever had , i m , may be the first time i ve ever asked for my money back . soggy , and no sauce . ",train
negative,"my husband and i both ordered pasta , and we both ended up with food poisoning , the sauce was super salty and , something was cross contaminated or under cooked for as sick as we both ended up . ",train
negative,horrible . tried it several times . taste like frozen pizza . found a hair in it the first time so against my better judgement tried it again . i swear it was worse than my first experience . the locals that like this joint must have smoker destroyed taste buds . ,train
negative,nope ! ,train
negative,waited minutes while servers at bar . was never acknowledged and decided not worth the wait at in the afternoon . manager was kind however the customer service was at it poorest . headed to on the boarder ! ,train
negative,nothing special about this place . great location but the facilities are a little tired . ,train
negative,been in three airports on our trip to north carolina . i know it s summer . what happen to the air conditioning . they ve lied if its about being green . it s about the other green ! ! ! ,train
negative,lousy ! you re a file number . ,train
negative,i m sorry but what is the big deal ? ! ? i can get great steak for a lot less . and everything is ala carte ! no way . i was not impressed by anything here . ruth s chris is better ! but quality steaks can be eaten at much better priced establishments . ,train
negative,oops . wrong location . ,train
negative,consumer alert . . . rats ! ,train
negative,worst wait staff and management i have ever experienced in my life ! ! ! kinda feels like a retirement home . ,train
negative,"the food was just ok . soggy french fries on a greasy cheese steak pattie . the service was awful , noise , and not helpful for a newcomer to primantis and pittsburgh . ",train
negative,"beware ! ! ! nthe to go orders are the size . nif you eat in the restaurant you get full portions n ndon t order to go unless you aren t hungry . ni called to inform , and instead of them fixing the issue , they told me to review poorly and tell yelp we like when a customa eat a here ",train
negative,makeup staff is rude . ,train
negative,not worth paying for . make your own salad better and for less ! it was clean that s about all i can say for it . . . ,train
negative,"update from last review . just found out today after having my car checked out at the dealer that fletchers installed my head gasket incorrectly , it is leaking oil from the engine seam . ",train
negative,"the owner , nicholas g nicholas needs to attend a few driving classes before he kills someone . maybe too much hp for him . if you see an white porsche with fl plate mnc stay clear . guy drives like a nut . almost ran me off the road in boca raton by . ",train
negative,never will go again . . food was so nasty . . didn t even put the flag up . . . ,train
negative,"the customer service at this place is awful . i waited for minutes before i was put on a waiting list to wait even longer . then on the waiting list , i waited for another minutes . . . terrible customer service ! ! ",train
negative,i have ordered the mushroom asparagus penne meal at this location twice . each time the asparagus has been undercooked . i don t live close and i think i will go to the cave creek and tatum location from now on . the manager kim doesn t seem to appreciate her customers . ,train
negative,went there tonight . n nworst sushi i have ever had . ,train
negative,"i have no clue why people this this place was good . it was bearable at best . the food was not awful , but not anything to jump up and brag about either . . the store is interesting and i suggest you look through and browse . ",train
negative,never once has my prescription been ready when i m told it s supposed to be . every single time i m told it s going to be minutes . i don t have time to sit around and wait with two kids in the car . i so wish i wasn t pigeon holed into using this pharmacy . i miss walgreens ! ! ! ,train
negative,"non attentive staff , very rude bartender . left before getting waited on ! ",train
negative,the food is average and the service is terrible ! the manager does nothing to rectify the situation . ,train
negative,"this restaurant was not a by any means . i give it a . the salsa was nothing special . our beers came out warm and one of the dishes was incorrect . after all this , they took off instead of not charging for the beer and dish . the food was mediocre . i would not visit this place again . ",train
negative,i really need a new wal mart . i ve been standing in the customer service line for minutes behind the same people just to exchange cans of soup . ,train
negative,how many times do i have to get crappy blueberries from sprouts before i learn my lesson ? ,train
negative,the worst excuse for chinese food ! the only tying i ate were the fortune cookies . ,train
negative,over priced yuppie garbage . npoor unknowledgable servants . ngo to the farmers market ! ,train
negative,"gross , plain and simple ! i ll crave some quick chinese food and then i m always upset . what a waste of money ! ",train
negative,"next time i get the once in a blue moon urge to visit a casino , i m just going to take out of my wallet and rip it in half . ",train
negative,did not like it . luke warm food that was not appetizing or tasteful . not the cleanest establishment . ,train
negative,"such a shame . terrific location , supported by the community and just awful . filthy , bad seats , more expensive than others . choose to go elsewhere . ",train
negative,worst airport in the area . never come to clt on monday morning . the valet parking was full by am . security lines are ridiculous . i drove up from columbia sc for the last time . ,train
